ダウンロードした時刻：2024/06/06 20:36:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝,十勝
,陸別,陸別,陸別,陸別,陸別,陸別,陸別,陸別,陸別,陸別,ぬかびら源泉郷,ぬかびら源泉郷,ぬかびら源泉郷,ぬかびら源泉郷,ぬかびら源泉郷,ぬかびら源泉郷,ぬかびら源泉郷,ぬかびら源泉郷,ぬかびら源泉郷,ぬかびら源泉郷,上士幌,上士幌,上士幌,上士幌,上士幌,上士幌,上士幌,上士幌,上士幌,上士幌,足寄,足寄,足寄,足寄,足寄,足寄,足寄,足寄,足寄,足寄,本別,本別,本別,本別,本別,本別,本別,本別,本別,本別,新得,新得,新得,新得,新得,新得,新得,新得,新得,新得,鹿追,鹿追,鹿追,鹿追,鹿追,鹿追,鹿追,鹿追,鹿追,鹿追,駒場,駒場,駒場,駒場,駒場,駒場,駒場,駒場,駒場,駒場,芽室,芽室,芽室,芽室,芽室,芽室,芽室,芽室,芽室,芽室,帯広,帯広,帯広,帯広,帯広,帯広,帯広,帯広,帯広,帯広,帯広,帯広,池田,池田,池田,池田,池田,池田,池田,池田,池田,池田,浦幌,浦幌,浦幌,浦幌,浦幌,浦幌,浦幌,浦幌,浦幌,浦幌,帯広泉,帯広泉,帯広泉,帯広泉,帯広泉,帯広泉,帯広泉,帯広泉,帯広泉,帯広泉,糠内,糠内,糠内,糠内,糠内,糠内,糠内,糠内,糠内,糠内,上札内,上札内,上札内,上札内,上札内,上札内,上札内,上札内,上札内,上札内,更別,更別,更別,更別,更別,更別,更別,更別,更別,更別,大津,大津,大津,大津,大津,大津,大津,大津,大津,大津,大樹,大樹,大樹,大樹,大樹,大樹,大樹,大樹,大樹,大樹,広尾,広尾,広尾,広尾,広尾,広尾,広尾,広尾,広尾,広尾,広尾,広尾
年月,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃),,,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(℃),平年値(℃)
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2023/1,5.5,8,1,33.7,8,-14.8,8,1,-11.1,8,22.5,8,1,48.5,8,-11.4,8,1,-10.5,8,7.5,8,1,30.9,8,-9.8,8,1,-7.7,8,6.0,8,1,26.2,8,-10.8,8,1,-9.1,8,5.5,8,1,29.2,8,-11.1,8,1,-8.9,8,25.5,8,1,46.4,8,-6.9,8,1,-6.2,8,19.5,8,1,34.1,8,-7.3,8,1,-6.7,8,12.0,8,1,27.2,8,-8.9,8,1,-8.1,8,21.0,8,1,43.5,8,-9.3,8,1,-8.3,8,21.5,0,8,1,40.5,0,8,-7.9,8,1,-6.9,8,15.5,8,1,37.7,8,-9.0,8,1,-8.2,8,14.5,8,1,43.9,8,-7.8,8,1,-6.9,8,18.0,8,1,,0,-10.6,8,1,-9.3,8,16.5,8,1,50.6,8,-11.1,8,1,-9.9,8,21.5,8,1,52.2,8,-9.3,8,1,-8.5,8,23.5,8,1,56.9,8,-9.8,8,1,-8.7,8,10.5,8,1,42.2,8,-8.3,8,1,-7.4,8,13.0,8,1,33.7,8,-9.6,8,1,-8.8,8,41.5,0,8,1,71.6,0,8,-5.2,8,1,-4.2,8
2023/2,19.0,8,1,20.1,8,-10.6,8,1,-9.6,8,31.0,8,1,39.1,8,-9.7,8,1,-9.4,8,19.0,8,1,21.5,8,-8.1,8,1,-7.1,8,14.5,8,1,17.7,8,-7.8,8,1,-7.5,8,11.0,8,1,18.9,8,-8.3,8,1,-7.3,8,22.5,8,1,40.1,8,-5.1,8,1,-5.6,8,23.5,8,1,27.7,8,-6.0,8,1,-6.2,8,18.5,8,1,19.9,8,-7.4,8,1,-7.2,8,16.5,8,1,31.7,8,-7.6,8,1,-7.3,8,25.0,0,8,1,28.8,0,8,-6.1,8,1,-5.7,8,22.5,8,1,26.5,8,-7.3,8,1,-6.9,8,16.0,8,1,28.9,8,-6.5,8,1,-5.8,8,17.5,5,1,,0,-8.4,5,1,-7.8,8,22.5,8,1,35.3,8,-8.8,8,1,-8.4,8,21.0,8,1,41.1,8,-7.8,8,1,-7.7,8,23.5,8,1,42.4,8,-8.0,8,1,-7.7,8,21.5,8,1,28.5,8,-7.0,8,1,-6.4,8,11.0,8,1,26.9,8,-7.8,8,1,-7.8,8,48.5,0,8,1,59.9,0,8,-4.0,8,1,-3.9,8
2023/3,36.5,8,1,38.4,8,0.3,8,1,-3.1,8,74.0,8,1,64.8,8,-0.4,8,1,-4.3,8,55.5,8,1,39.9,8,1.1,8,1,-2.3,8,51.0,8,1,32.3,8,2.3,8,1,-1.4,8,50.5,8,1,32.4,8,2.1,8,1,-1.1,8,32.0,8,1,54.1,8,2.7,8,1,-1.1,8,44.5,8,1,41.5,8,2.5,8,1,-1.6,8,58.5,8,1,32.3,8,1.8,8,1,-1.6,8,45.5,8,1,48.3,8,1.2,8,1,-1.6,8,62.0,0,8,1,43.8,0,8,2.8,8,1,-0.4,8,65.0,8,1,40.0,8,1.8,8,1,-1.3,8,77.5,8,1,47.0,8,2.2,8,1,-0.7,8,50.0,8,1,,0,0.9,8,1,-1.9,8,60.5,8,1,50.8,8,1.1,8,1,-2.2,8,57.5,8,1,62.1,8,0.9,8,1,-2.7,8,59.0,8,1,58.8,8,0.9,8,1,-2.2,8,72.5,8,1,47.3,8,1.7,8,1,-1.2,8,37.5,8,1,49.2,8,1.7,8,1,-2.2,8,64.5,0,8,1,95.1,0,8,3.4,8,1,0.1,8
2023/4,89.0,8,1,54.2,8,5.8,8,1,4.0,8,169.5,8,1,84.5,8,4.9,8,1,2.4,8,82.0,8,1,62.0,8,6.6,8,1,4.3,8,84.0,8,1,55.8,8,7.9,8,1,5.2,8,75.0,8,1,54.2,8,7.7,8,1,5.4,8,78.0,8,1,67.3,8,8.0,8,1,5.3,8,69.5,8,1,54.4,8,7.8,8,1,5.0,8,74.0,8,1,51.1,8,7.7,8,1,5.0,8,76.0,8,1,60.9,8,8.0,8,1,5.3,8,65.0,0,8,1,60.1,0,8,8.8,8,1,6.0,8,92.5,8,1,61.0,8,7.8,8,1,4.9,8,106.5,8,1,68.5,8,7.6,8,1,5.0,8,87.0,8,1,,0,7.6,8,1,4.6,8,89.0,8,1,68.1,8,7.6,8,1,4.7,8,114.0,8,1,78.9,8,7.0,8,1,4.1,8,98.0,8,1,71.6,8,7.5,8,1,4.7,8,101.5,8,1,73.4,8,6.7,8,1,4.1,8,98.0,8,1,71.2,8,7.3,8,1,4.5,8,182.0,0,8,1,111.3,0,8,8.2,8,1,5.2,8
2023/5,19.0,8,1,71.5,8,10.9,8,1,10.1,8,43.5,8,1,129.7,8,10.1,8,1,8.9,8,46.0,8,1,98.5,8,11.5,8,1,10.4,8,29.0,8,1,83.8,8,12.8,8,1,11.2,8,29.5,8,1,78.4,8,12.6,8,1,11.2,8,37.5,8,1,92.5,8,13.0,8,1,11.3,8,28.5,8,1,83.9,8,12.8,8,1,11.0,8,26.0,8,1,79.0,8,12.5,8,1,10.9,8,26.0,8,1,82.8,8,12.7,8,1,11.2,8,21.5,0,8,1,84.7,0,8,13.4,8,1,11.6,8,27.0,8,1,87.8,8,12.3,8,1,10.4,8,27.5,8,1,103.6,8,11.7,8,1,10.3,8,32.0,8,1,78.0,8,11.9,8,1,10.8,8,25.5,8,1,92.4,8,11.9,8,1,10.4,8,30.0,8,1,102.8,8,11.4,8,1,10.0,8,21.0,8,1,95.8,8,12.0,8,1,10.6,8,27.0,8,1,107.6,8,10.0,8,1,8.5,8,32.5,8,1,107.1,8,11.3,8,1,9.9,8,52.5,0,8,1,162.4,0,8,11.5,8,1,9.8,8
2023/6,75.5,8,1,67.6,8,16.6,8,1,14.4,8,99.0,8,1,110.9,8,14.8,8,1,13.3,8,82.5,8,1,91.6,8,16.2,8,1,14.2,8,56.5,8,1,72.4,8,17.9,8,1,15.3,8,40.5,8,1,67.0,8,17.6,8,1,15.2,8,130.5,8,1,93.0,8,17.4,8,1,15.2,8,86.0,8,1,81.9,8,17.6,8,1,14.8,8,88.5,8,1,78.6,8,16.9,8,1,14.7,8,103.5,8,1,83.0,8,17.4,8,1,15.0,8,82.5,0,8,1,81.1,0,8,18.0,8,1,15.2,8,53.0,8,1,80.5,8,16.9,8,1,14.2,8,51.5,8,1,90.7,8,16.7,8,1,13.9,8,66.0,8,1,83.3,8,16.7,8,1,14.5,8,83.0,8,1,86.5,8,16.7,8,1,14.2,8,71.5,8,1,96.4,8,16.0,8,1,13.7,8,62.5,8,1,96.0,8,16.7,8,1,14.1,8,66.5,8,1,103.8,8,15.1,8,1,12.1,8,55.5,8,1,109.0,8,16.1,8,1,13.4,8,55.0,0,8,1,149.2,0,8,15.8,8,1,12.7,8
